ID	NAME	CLONE_ID	5ACC	3ACC	GB_LIST
28	SID  61446, INTERFERON-GAMMA RECEPTOR ALPHA CHAIN PRECURSOR [5':T39977, 3':T40924]	IMAGE:61446	T39977	T40924	T39977,T40924
29	 Human zinc finger protein mRNA, complete cds Chr.18 [61531, (IW), 5':T40051, 3':T40973]	IMAGE:61531	T40051	T40973	T40051,T40973
30	 Human Meis1-related protein 2 (MRG2), mRNA, partial cds Chr.5 [61537, (IW), 5':T40064, 3':T40986]	IMAGE:61537	T40064	T40986	T40064,T40986
31	SID  61467, ESTs [5':T40005, 3':T40942]	IMAGE:61467	T40005	T40942	T40005,T40942
32	 Homo sapiens (clone p5-23-3) mRNA Chr.2 [61626, (REW), 5':T40124, 3':T41024]	IMAGE:61626	T40124	T41024	T40124,T41024
33	 ESTs Chr.11 [61507, (I), 5':T40031, 3':T40955]	IMAGE:61507	T40031	T40955	T40031,T40955
34	SID  61419, ESTs [5':T39970, 3':T40920]	IMAGE:61419	T39970	T40920	T39970,T40920
35	SID W 62344, Matrix metalloproteinase 2 (gelatinase A; collagenase type IV) [5':T40345, 3':T41204]	IMAGE:62344	T40345	T41204	T40345,T41204
36	Basic transcription factor 3SID  62186,  [5':T40255, 3':T41117]	IMAGE:62186	T40255	T41117	T40255,T41117
37	SID  62384,  [5':T40368, 3':T41222]	IMAGE:62384	T40368	T41222	T40368,T41222
38	SID  62257, ESTs, Weakly similar to p40 [H.sapiens] [5':T40307, 3':T41172]	IMAGE:62257	T40307	T41172	T40307,T41172
39	SID  62267, ESTs [5':, 3':T41174]	IMAGE:62267		T41174	T41174
40	 ESTs Chr.1 [62232, (IR), 5':T40284, 3':T41149]	IMAGE:62232	T40284	T41149	T40284,T41149
41	SID  62165, ESTs [5':, 3':T41107]	IMAGE:62165		T41107	T41107
42	SID W 62098, ESTs [5':T40200, 3':T41068]	IMAGE:62098	T40200	T41068	T40200,T41068
43	 ESTs Chr.13 [62250, (RW), 5':T40289, 3':T41154]	IMAGE:62250	T40289	T41154	T40289,T41154
44	 ESTs Chr.4 [62340, (RW), 5':T40344, 3':T41203]	IMAGE:62340	T40344	T41203	T40344,T41203
45	SID  53024, MUSCARINIC ACETYLCHOLINE RECEPTOR M3 [5':R15882, 3':R15881]	IMAGE:53024	R15882	R15881	R15882,R15881
46	 Human G2 protein mRNA, partial cds Chr.11 [53069, (IEW), 5':R16048, 3':R16047]	IMAGE:53069	R16048	R16047	R16048,R16047
47	SID  52985, ESTs [5':, 3':R15436]	IMAGE:52985		R15436	R15436
48	TUBB Beta-tubulin Chr.6 [53151, (EW), 5':R16191, 3':R15756]	IMAGE:53151	R16191	R15756	R16191,R15756
49	SID  53041, ESTs [5':R16179, 3':R15742]	IMAGE:53041	R16179	R15742	R16179,R15742
50	 ESTs Chr.14 [53266, (I), 5':R15416, 3':R16158]	IMAGE:53266	R15416	R16158	R15416,R16158
51	 ESTs Chr.11 [53049, (I), 5':R16185, 3':R15749]	IMAGE:53049	R16185	R15749	R16185,R15749
52	Homo sapiens ubiquitin conjugating enzyme G2 (UBE2G2) mRNA, complete cdsSID  53285,  [5':R16221, 3':R16220]	IMAGE:53285	R16221	R16220	R16221,R16220
53	SID W 53322, Human TFIIIC Box B-binding subunit mRNA, complete cds [5':R15855, 3':R15854]	IMAGE:53322	R15855	R15854	R15855,R15854
54	SID  53127, ESTs [5':, 3':R15898]	IMAGE:53127		R15898	R15898
55	SID  52993, ESTs [5':R15445, 3':R15444]	IMAGE:52993	R15445	R15444	R15445,R15444
56	 ESTs Chr.1 [53061, (I), 5':R15403, 3':R16144]	IMAGE:53061	R15403	R16144	R15403,R16144
57	 ESTs Chr.5 [53048, (IW), 5':R16184, 3':R15748]	IMAGE:53048	R16184	R15748	R16184,R15748
58	 Homo sapiens clone 23950 mRNA sequence Chr.5 [53385, (IRW), 5':R16232, 3':R16231]	IMAGE:53385	R16232	R16231	R16232,R16231
59	 ESTs Chr.1 [53031, (IW), 5':R15947, 3':R15946]	IMAGE:53031	R15947	R15946	R15947,R15946
60	SID W 53251, Human Zn-15 related zinc finger protein (rlf) mRNA, complete cds [5':R15988, 3':R15987]	IMAGE:53251	R15988	R15987	R15988,R15987
61	MEIS1 Meis1 (mouse) homolog Chr.2 [53347, (DI), 5':, 3':R15989]	IMAGE:53347		R15989	R15989
62	SID  53339, ESTs [5':R15933, 3':R15932]	IMAGE:53339	R15933	R15932	R15933,R15932
63	 ESTs Chr.3 [53393, (IRW), 5':R16246, 3':R16245]	IMAGE:53393	R16246	R16245	R16246,R16245
64	CR1 Complement component (3b/4b) receptor 1, including Knops blood group system Chr.1 [66327, (IRW), 5':T66824, 3':T66823]	IMAGE:66327	T66824	T66823	T66824,T66823
65	  Chr. [66343, (I), 5':T66852, 3':T66851]	IMAGE:66343	T66852	T66851	T66852,T66851
66	SID  66486,  [5':R16024, 3':R16124]	IMAGE:66486	R16024	R16124	R16024,R16124
67	SID  66689, ESTs [5':T67290, 3':T67289]	IMAGE:66689	T67290	T67289	T67290,T67289
68	 EST Chr.6 [66685, (IR), 5':T67286, 3':T67285]	IMAGE:66685	T67286	T67285	T67286,T67285
69	 ESTs Chr.17 [66371, (I), 5':T66901, 3':T66900]	IMAGE:66371	T66901	T66900	T66901,T66900
70	 EST Chr.3 [67457, (I), 5':T49383, 3':T49384]	IMAGE:67457	T49383	T49384	T49383,T49384
71	 ESTs Chr.4 [67318, (IRW), 5':T49221, 3':T49222]	IMAGE:67318	T49221	T49222	T49221,T49222
72	SID W 67682, ESTs [5':T49569, 3':T49570]	IMAGE:67682	T49569	T49570	T49569,T49570
73	SID  67939, Human G0S2 protein gene, complete cds [5':, 3':T52813]	IMAGE:67939		T52813	T52813
74	  Chr. [67885, (I), 5':T52773, 3':T52774]	IMAGE:67885	T52773	T52774	T52773,T52774
75	SID W 68070, ESTs [5':T52848, 3':T52849]	IMAGE:68070	T52848	T52849	T52848,T52849
76	 EST Chr.2 [68052, (R), 5':T52819, 3':T52820]	IMAGE:68052	T52819	T52820	T52819,T52820
77	SID  68187,  [5':T52984, 3':T52985]	IMAGE:68187	T52984	T52985	T52984,T52985
78	 Homo sapiens mRNA for KIAA0693 protein, partial cds Chr.20 [68189, (IW), 5':T52986, 3':T52987]	IMAGE:68189	T52986	T52987	T52986,T52987
79	 ESTs Chr.18 [68068, (R), 5':, 3':T52847]	IMAGE:68068		T52847	T52847
80	SLC2A2 Solute carrier family 2 (facilitated glucose transporter), member 2 Chr.3 [68239, (IW), 5':T56837, 3':T56836]	IMAGE:68239	T56837	T56836	T56837,T56836
81	SID  68455, ESTs [5':T53075, 3':T53076]	IMAGE:68455	T53075	T53076	T53075,T53076
82	SID  68400, ESTs [5':, 3':T57034]	IMAGE:68400		T57034	T57034
83	SID  68587,  [5':T53259, 3':T53260]	IMAGE:68587	T53259	T53260	T53259,T53260
84	ESTsSID  68741,  [5':T53356, 3':T53357]	IMAGE:68741	T53356	T53357	T53356,T53357
85	SID  69020, EST [5':T53709, 3':T54302]	IMAGE:69020	T53709	T54302	T53709,T54302
86	SID  69644,  [5':T53591, 3':T53592]	IMAGE:69644	T53591	T53592	T53591,T53592
87	 Homo sapiens scaffold attachment factor B (SAF-B) mRNA, partial cds Chr.19 [70002, (RW), 5':T48740, 3':T48741]	IMAGE:70002	T48740	T48741	T48740,T48741
88	SID W 70120, G PROTEIN-COUPLED RECEPTOR KINASE GRK5 [5':T51359, 3':T51244]	IMAGE:70120	T51359	T51244	T51359,T51244
89	SID  70132, ESTs [5':T51370, 3':T51255]	IMAGE:70132	T51370	T51255	T51370,T51255
90	*NADH-UBIQUINONE OXIDOREDUCTASE CHAIN SID  70082, ESTs [5':, 3':T51205]	IMAGE:70082		T51205	T51205
91	 H.sapiens mRNA for AFX protein Chr. [70349, (RW), 5':T54418, 3':T54462]	IMAGE:70349	T54418	T54462	T54418,T54462
92	SID  70182, EST [5':T49999, 3':T50062]	IMAGE:70182	T49999	T50062	T49999,T50062
93	 ESTs Chr.8 [70370, (IW), 5':T54423, 3':T54471]	IMAGE:70370	T54423	T54471	T54423,T54471
94	 ESTs Chr.3 [70202, (R), 5':T50013, 3':T50075]	IMAGE:70202	T50013	T50075	T50013,T50075
95	 ESTs Chr.7 [70193, (DW), 5':T50009, 3':T50073]	IMAGE:70193	T50009	T50073	T50009,T50073
96	 ESTs Chr.21 [70167, (D), 5':T49996, 3':T50056]	IMAGE:70167	T49996	T50056	T49996,T50056
97	 Homo sapiens Golgi complex autoantigen golgin-97 mRNA, complete cds Chr.9 [70444, (I), 5':T48885, 3':T48886]	IMAGE:70444	T48885	T48886	T48885,T48886
98	 ESTs Chr.14 [70288, (DIW), 5':T48818, 3':T48819]	IMAGE:70288	T48818	T48819	T48818,T48819
99	Homo sapiens mRNA for DDS1beta protein, complete cds  Chr. [70470, (E), 5':T48914, 3':T48915]	IMAGE:70470	T48914	T48915	T48914,T48915
100	SID W 70843, Hydroxysteroid (11-beta) dehydrogenase 2 [5':T46932, 3':T46933]	IMAGE:70843	T46932	T46933	T46932,T46933
101	  Chr. [70542, (D), 5':T48998, 3':T48999]	IMAGE:70542	T48998	T48999	T48998,T48999
102	 ESTs Chr.17 [70683, (IW), 5':T49160, 3':T49161]	IMAGE:70683	T49160	T49161	T49160,T49161
103	ESTs  Chr. [70741, (E), 5':T47307, 3':T47308]	IMAGE:70741	T47307	T47308	T47307,T47308
104	SID W 70609, ESTs [5':T49086, 3':T49087]	IMAGE:70609	T49086	T49087	T49086,T49087
105	SID  70742, EST [5':T47301, 3':T47302]	IMAGE:70742	T47301	T47302	T47301,T47302
106	SID  70862, ESTs [5':T46941, 3':T46942]	IMAGE:70862	T46941	T46942	T46941,T46942
107	 H.sapiens H3/b gene Chr.6 [71013, (D), 5':T47070, 3':T47071]	IMAGE:71013	T47070	T47071	T47070,T47071
108	SID W 70982, ESTs [5':T47038, 3':T47039]	IMAGE:70982	T47038	T47039	T47038,T47039
109	SID  71001, Human myogenic repressor I-mf (MDFI) mRNA, complete cds [5':, 3':T47063]	IMAGE:71001		T47063	T47063
110	 Human msg1-related gene 1 (mrg1) mRNA, complete cds Chr.6 [71172, (EW), 5':T47496, 3':T47497]	IMAGE:71172	T47496	T47497	T47496,T47497
111	 TRANSFORMATION-SENSITIVE PROTEIN IEF SSP 3521 Chr.11 [71324, (DW), 5':T47636, 3':T47637]	IMAGE:71324	T47636	T47637	T47636,T47637
112	PRKCI Protein kinase C, iota Chr.X [71622, (RW), 5':T57957, 3':T57875]	IMAGE:71622	T57957	T57875	T57957,T57875
113	 Granulocyte colony-stimulating factor induced gene [human, CML patient, bone marrow mononuclear  Chr.19 [71606, (DRW), 5':T57940, 3':T57859]	IMAGE:71606	T57940	T57859	T57940,T57859
114	SID  71464, Human mRNA for leukotriene b4 receptor, complete cds [5':T47848, 3':T51481]	IMAGE:71464	T47848	T51481	T47848,T51481
115	SID  71441, EST [5':T47836, 3':T47837]	IMAGE:71441	T47836	T47837	T47836,T47837
116	SID  71493,  [5':T47879, 3':T51508]	IMAGE:71493	T47879	T51508	T47879,T51508
117	SID  71414, ESTs [5':T47783, 3':T47784]	IMAGE:71414	T47783	T47784	T47783,T47784
118	 EST Chr.7 [71597, (R), 5':T57946, 3':T57865]	IMAGE:71597	T57946	T57865	T57946,T57865
119	SID W 71602, ESTs [5':T57938, 3':T57857]	IMAGE:71602	T57938	T57857	T57938,T57857
120	 ESTs Chr.5 [71671, (R), 5':T58011, 3':T57927]	IMAGE:71671	T58011	T57927	T58011,T57927
121	SID W 71644, ESTs [5':T57978, 3':T57896]	IMAGE:71644	T57978	T57896	T57978,T57896
122	 ESTs Chr.2 [71591, (R), 5':T48010, 3':T48011]	IMAGE:71591	T48010	T48011	T48010,T48011
123	SID  71513, ESTs, Weakly similar to STEROL O-ACYLTRANSFERASE [H.sapiens] [5':T47905, 3':T47906]	IMAGE:71513	T47905	T47906	T47905,T47906
124	SID  71410,  [5':, 3':T47780]	IMAGE:71410		T47780	T47780
125	SID  71797, Zinc finger protein 84 (HPF2) [5':T52587, 3':T52508]	IMAGE:71797	T52587	T52508	T52587,T52508
126	Hemoglobin gamma-GSID  71828,  [5':T52601, 3':T52523]	IMAGE:71828	T52601	T52523	T52601,T52523
127	SID  71750,  [5':T51387, 3':T51271]	IMAGE:71750	T51387	T51271	T51387,T51271
128	 ESTs Chr.13 [71902, (R), 5':T52228, 3':T52152]	IMAGE:71902	T52228	T52152	T52228,T52152
129	SID  71955,  [5':T52291, 3':T52211]	IMAGE:71955	T52291	T52211	T52291,T52211
130	SID  71767, ESTs, Weakly similar to PHOSDUCIN [H.sapiens] [5':T51417, 3':T51291]	IMAGE:71767	T51417	T51291	T51417,T51291
131	Translation elongation factor 1-alpha-1  Chr. [72241, (E), 5':T48188, 3':T51576]	IMAGE:72241	T48188	T51576	T48188,T51576
132	SID  72228, HETEROGENOUS NUCLEAR RIBONUCLEOPROTEIN U [5':T48168, 3':T51551]	IMAGE:72228	T48168	T51551	T48168,T51551
133	SID W 72199, Human CENP-F kinetochore protein mRNA, complete cds [5':T48152, 3':T48153]	IMAGE:72199	T48152	T48153	T48152,T48153
134	SID  72147, ESTs [5':T48092, 3':T48093]	IMAGE:72147	T48092	T48093	T48092,T48093
135	SID  72214, Human T54 protein (T54) mRNA, complete cds [5':T48147, 3':T48148]	IMAGE:72214	T48147	T48148	T48147,T48148
136	SID  72368, ESTs [5':T51661, 3':T51514]	IMAGE:72368	T51661	T51514	T51661,T51514
137	 EST Chr.6 [72745, (R), 5':T50815, 3':T50661]	IMAGE:72745	T50815	T50661	T50815,T50661
138	 EST Chr.4 [72663, (R), 5':T50527, 3':T50397]	IMAGE:72663	T50527	T50397	T50527,T50397
139	 ESTs, Weakly similar to putative p150 [H.sapiens] Chr.5 [72488, (I), 5':T51721, 3':T51931]	IMAGE:72488	T51721	T51931	T51721,T51931
140	 ESTs Chr.22 [72498, (RW), 5':T51726, 3':T51936]	IMAGE:72498	T51726	T51936	T51726,T51936
141	SID  72492, ESTs [5':T51723, 3':T51933]	IMAGE:72492	T51723	T51933	T51723,T51933
142	SID  72465,  [5':T51711, 3':T51922]	IMAGE:72465	T51711	T51922	T51711,T51922
143	 ESTs Chr.5 [72720, (DIW), 5':T50603, 3':T50468]	IMAGE:72720	T50603	T50468	T50603,T50468
144	SID  72641, ESTs [5':T52138, 3':T52025]	IMAGE:72641	T52138	T52025	T52138,T52025
145	SID  72528, EST [5':T51800, 3':T51642]	IMAGE:72528	T51800	T51642	T51800,T51642
146	SID  72584, ESTs [5':T52053, 3':T51972]	IMAGE:72584	T52053	T51972	T52053,T51972
147	NGFB Nerve growth factor beta Chr.1 [72869, (RW), 5':T56316, 3':T52484]	IMAGE:72869	T56316	T52484	T56316,T52484
148	Hemoglobin, alpha 1SID  72938,  [5':T56629, 3':T56440]	IMAGE:72938	T56629	T56440	T56629,T56440
149	SID  72866,  [5':T56305, 3':T52472]	IMAGE:72866	T56305	T52472	T56305,T52472
150	SID  73161,  [5':T57308, 3':T56621]	IMAGE:73161	T57308	T56621	T57308,T56621
151	SID  73185,  [5':T55958, 3':T57205]	IMAGE:73185	T55958	T57205	T55958,T57205
152	SID  73248, Protein tyrosine phosphatase, non-receptor type 7 [5':, 3':T56011]	IMAGE:73248		T56011	T56011
153	SID W 73515, Homo sapiens MHC class I chain-related protein B (MICB) mRNA, MICB-004 allele, partial cds [5':T55631, 3':T55552]	IMAGE:73515	T55631	T55552	T55631,T55552
154	 EST Chr.13 [73391, (R), 5':T55378, 3':T55806]	IMAGE:73391	T55378	T55806	T55378,T55806
155	SID  73337, EST [5':T56148, 3':T56114]	IMAGE:73337	T56148	T56114	T56148,T56114
156	ESTsSID  73594,  [5':T55688, 3':T55606]	IMAGE:73594	T55688	T55606	T55688,T55606
157	 COLIPASE PRECURSOR Chr.6 [73782, (RW), 5':T54749, 3':T54662]	IMAGE:73782	T54749	T54662	T54749,T54662
158	 Human mucosal addressin cell adhesion molecule-1 (MAdCAM-1) mRNA, complete cds Chr.19 [73734, (IW), 5':T54705, 3':T54621]	IMAGE:73734	T54705	T54621	T54705,T54621
159	SID W 73831, Wilms tumor 1 [5':T54965, 3':T54801]	IMAGE:73831	T54965	T54801	T54965,T54801
160	SID W 73749, ESTs, Highly  similar to UBIQUINOL-CYTOCHROME C REDUCTASE COMPLEX 7.2 KD PROTEIN [Bos taurus] [5':T54721, 3':T54639]	IMAGE:73749	T54721	T54639	T54721,T54639
161	SID  73946, Homo sapiens clone 23685 mRNA sequence [5':T54809, 3':T55183]	IMAGE:73946	T54809	T55183	T54809,T55183
162	SID W 73740, ESTs [5':T54707, 3':T54624]	IMAGE:73740	T54707	T54624	T54707,T54624
163	SID  73849,  [5':, 3':T54860]	IMAGE:73849		T54860	T54860
164	SID  73677, ESTs [5':T54574, 3':T54535]	IMAGE:73677	T54574	T54535	T54574,T54535
165	  Chr. [73725, (R), 5':T54701, 3':T54617]	IMAGE:73725	T54701	T54617	T54701,T54617
166	 EST Chr.4 [73609, (R), 5':T55756, 3':T55714]	IMAGE:73609	T55756	T55714	T55756,T55714
167	SID  73878, ESTs [5':T55039, 3':T54874]	IMAGE:73878	T55039	T54874	T55039,T54874
168	SID  73951, EST [5':T54820, 3':T55196]	IMAGE:73951	T54820	T55196	T54820,T55196
169	 EST Chr.11 [73960, (R), 5':T54814, 3':T55189]	IMAGE:73960	T54814	T55189	T54814,T55189
170	SID  73944,  [5':T54808, 3':T55182]	IMAGE:73944	T54808	T55182	T54808,T55182
171	 ESTs Chr.2 [73785, (R), 5':T54759, 3':T54672]	IMAGE:73785	T54759	T54672	T54759,T54672
172	SID W 73973, ESTs [5':T54839, 3':T55216]	IMAGE:73973	T54839	T55216	T54839,T55216
173	SID  74302, ESTs, Highly  similar to HYPOTHETICAL 20.1 KD PROTEIN F42H10.6 IN CHROMOSOME III [Caenorhabditis [5':T53974, 3':T55234]	IMAGE:74302	T53974	T55234	T53974,T55234
174	 Human mRNA for unc-18homologue, complete cds Chr.1 [73995, (DW), 5':T48215, 3':T48216]	IMAGE:73995	T48215	T48216	T48215,T48216
175	 ESTs, Highly  similar to 40S RIBOSOMAL PROTEIN SA [Homo sapiens] Chr.4 [74051, (IR), 5':T48292, 3':T48293]	IMAGE:74051	T48292	T48293	T48292,T48293
176	Hemoglobin, alpha 1  Chr. [74275, (DE), 5':T48476, 3':T48477]	IMAGE:74275	T48476	T48477	T48476,T48477
177	SID  74109,  [5':T55078, 3':T54911]	IMAGE:74109	T55078	T54911	T55078,T54911
178	SID  74294,  [5':T53971, 3':T55231]	IMAGE:74294	T53971	T55231	T53971,T55231
179	SID  74025,  [5':T48255, 3':T48256]	IMAGE:74025	T48255	T48256	T48255,T48256
180	 ESTs Chr.1 [74070, (R), 5':T48311, 3':T48312]	IMAGE:74070	T48311	T48312	T48311,T48312
181	SID W 74554, ESTs [5':T59126, 3':T59050]	IMAGE:74554	T59126	T59050	T59126,T59050
182	SID  74546,  [5':T59122, 3':T59047]	IMAGE:74546	T59122	T59047	T59122,T59047
183	SID  74645,  [5':T59215, 3':T59174]	IMAGE:74645	T59215	T59174	T59215,T59174
184	SID W 74851, MICROTUBULE-ASSOCIATED PROTEIN 1B [5':T47150, 3':T47151]	IMAGE:74851	T47150	T47151	T47150,T47151
185	SID  74852,  [5':T47139, 3':T47140]	IMAGE:74852	T47139	T47140	T47139,T47140
186	SID  75046,  [5':T51905, 3':T51857]	IMAGE:75046	T51905	T51857	T51905,T51857
187	SID W 75514, Ribosomal protein L3 [5':T59318, 3':T57652]	IMAGE:75514	T59318	T57652	T59318,T57652
188	 ESTs Chr.1 [75481, (D), 5':T59309, 3':T57645]	IMAGE:75481	T59309	T57645	T59309,T57645
189	SID W 75289, ESTs [5':T59386, 3':T59358]	IMAGE:75289	T59386	T59358	T59386,T59358
190	SID  75451,  [5':T58976, 3':T57623]	IMAGE:75451	T58976	T57623	T58976,T57623
191	 ESTs Chr.6 [75404, (DW), 5':T57595, 3':T57545]	IMAGE:75404	T57595	T57545	T57595,T57545
192	SID  75340,  [5':T57560, 3':T57514]	IMAGE:75340	T57560	T57514	T57560,T57514
193	 ESTs Chr.6 [75892, (RW), 5':T59487, 3':T59431]	IMAGE:75892	T59487	T59431	T59487,T59431
194	  Chr. [75700, (D), 5':T58491, 3':T58449]	IMAGE:75700	T58491	T58449	T58491,T58449
195	ESTsSID  75882,  [5':T59476, 3':T59420]	IMAGE:75882	T59476	T59420	T59476,T59420
196	SID  75626,  [5':T58456, 3':T58424]	IMAGE:75626	T58456	T58424	T58456,T58424
197	SID  76252, ESTs [5':T59964, 3':T59873]	IMAGE:76252	T59964	T59873	T59964,T59873
198	 EST Chr.7 [76179, (R), 5':T59804, 3':T59670]	IMAGE:76179	T59804	T59670	T59804,T59670
199	SID  76146, ESTs [5':T59735, 3':T59622]	IMAGE:76146	T59735	T59622	T59735,T59622
200	SID  76178,  [5':T59796, 3':T59663]	IMAGE:76178	T59796	T59663	T59796,T59663
201	MGP Matrix Gla protein Chr.12 [76539, (IW), 5':T60828, 3':T60778]	IMAGE:76539	T60828	T60778	T60828,T60778
202	 ESTs Chr.7 [76585, (RW), 5':T51037, 3':T50974]	IMAGE:76585	T51037	T50974	T51037,T50974
203	 ESTs Chr.6 [76980, (I), 5':, 3':T61049]	IMAGE:76980		T61049	T61049
204	SID  76684,  [5':T60874, 3':T60848]	IMAGE:76684	T60874	T60848	T60874,T60848
205	  Chr. [76841, (I), 5':, 3':T61518]	IMAGE:76841		T61518	T61518
206	 ESTs Chr.14 [76920, (IW), 5':T61022, 3':T61574]	IMAGE:76920	T61022	T61574	T61022,T61574
207	SID  77163,  [5':, 3':T50103]	IMAGE:77163		T50103	T50103
208	SID  77414,  [5':, 3':T56173]	IMAGE:77414		T56173	T56173
209	 EST Chr.2 [77238, (R), 5':T50192, 3':T50137]	IMAGE:77238	T50192	T50137	T50192,T50137
210	 FOS-RELATED ANTIGEN 2 Chr.2 [77577, (DRW), 5':T58932, 3':T58873]	IMAGE:77577	T58932	T58873	T58932,T58873
211	 Homo sapiens IL-10-inducible chemokine (HCC-4) mRNA, complete cds Chr.17 [77539, (IRW), 5':T58847, 3':T58775]	IMAGE:77539	T58847	T58775	T58847,T58775
212	  Chr. [77730, (R), 5':T55932, 3':T55871]	IMAGE:77730	T55932	T55871	T55932,T55871
213	SID  77477,  [5':T58808, 3':T58741]	IMAGE:77477	T58808	T58741	T58808,T58741
214	SID W 77500, Apolipoprotein F [5':T58816, 3':T58748]	IMAGE:77500	T58816	T58748	T58816,T58748
215	SID  77638,  [5':T58959, 3':T58897]	IMAGE:77638	T58959	T58897	T58959,T58897
216	Complement component 1, q subcomponent, beta polypeptideSID  77973,  [5':T53963, 3':T53830]	IMAGE:77973	T53963	T53830	T53963,T53830
217	Cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 9  Chr. [77997, (I), 5':T54023, 3':T53876]	IMAGE:77997	T54023	T53876	T54023,T53876
218	UGT2B15 UDP glucuronosyltransferase precursor (UGT2B15) Chr.4 [78294, (RW), 5':T50951, 3':T50788]	IMAGE:78294	T50951	T50788	T50951,T50788
219	SID  78275, Nuclear antigen Sp100 [5':T50942, 3':T50780]	IMAGE:78275	T50942	T50780	T50942,T50780
220	SID  78716, EST [5':T60374, 3':T61872]	IMAGE:78716	T60374	T61872	T60374,T61872
221	SID  78833, ESTs [5':T46868, 3':T51150]	IMAGE:78833	T46868	T51150	T46868,T51150
222	 EST Chr.21 [78808, (R), 5':T46844, 3':T51125]	IMAGE:78808	T46844	T51125	T46844,T51125
223	 ESTs Chr.3 [78736, (RE), 5':T60389, 3':T61888]	IMAGE:78736	T60389	T61888	T60389,T61888
224	SID  78986,  [5':T62158, 3':T61932]	IMAGE:78986	T62158	T61932	T62158,T61932
225	SID  79047, Homo sapiens clones 24622 and 24623 mRNA sequence [5':T61977, 3':T61914]	IMAGE:79047	T61977	T61914	T61977,T61914
226	ALOX5 Arachidonate 5-lipoxygenase Chr.10 [79114, (I), 5':T62015, 3':T62206]	IMAGE:79114	T62015	T62206	T62015,T62206
